Measure:volume,Lateral-nucleus,Basal-nucleus,Accessory-Basal-nucleus,Anterior-amygdaloid-area-AAA,Central-nucleus,Medial-nucleus,Cortical-nucleus,Corticoamygdaloid-transitio,Paralaminar-nucleus,Whole_amygdala
sub-CC120218_T1w,676.7415,451.935223,282.413642,54.445322,55.848764,30.089005,33.050554,191.059508,49.176235,1824.759755
sub-CC210023_T1w,818.546616,520.224937,261.576821,64.934887,63.881683,18.835343,17.180389,185.358831,62.379416,2012.918923
sub-CC210088_T1w,725.370816,468.715234,270.070886,48.115333,40.335004,15.12696,22.675169,187.686884,56.498635,1834.594922
sub-CC210314_T1w,587.849418,395.465971,239.731313,51.020066,38.992759,24.182998,21.310288,155.203204,43.294906,1557.050924
sub-CC210422_T1w,879.771269,549.310851,320.35247,70.944689,60.39022,27.058545,32.776222,208.899753,60.924659,2210.428679
sub-CC220198_T1w,773.997642,524.7054,317.874788,62.743853,59.525273,27.10526,29.712903,217.172335,57.31745,2070.154905
sub-CC310214_T1w,780.446469,508.441664,328.903017,62.254486,53.239941,26.788225,32.495598,207.754191,51.042497,2051.366088
sub-CC310252_T1w,758.793885,489.249172,303.908338,54.955653,49.131573,20.2607,30.12524,199.5596,50.580062,1956.564226
sub-CC310361_T1w,687.740177,445.231031,259.369493,56.627882,49.074535,21.952494,26.586361,177.282026,51.578259,1775.442257
sub-CC310450_T1w,730.826403,473.335502,268.493419,62.562424,46.397182,21.085564,24.885646,181.653216,52.710344,1861.949701
sub-CC310463_T1w,798.076353,491.454336,302.629816,61.870321,51.536322,23.280595,28.219382,208.416281,55.98718,2021.470587
sub-CC312058_T1w,881.388906,533.676529,322.455149,76.833135,57.210524,21.507836,30.570405,206.201522,51.683991,2181.527998
sub-CC312222_T1w,665.925983,452.283183,288.39878,47.977951,48.387342,18.154768,26.342138,181.794037,47.361965,1776.626146
sub-CC320107_T1w,631.977821,442.01801,283.640118,55.141351,58.762516,34.001374,32.954619,188.393707,46.312599,1773.202114
sub-CC320321_T1w,626.078688,393.162454,229.938397,52.934144,35.278573,20.242133,25.865275,163.345062,43.240204,1590.084929
sub-CC320325_T1w,637.676868,375.891238,229.437675,43.025805,38.231869,17.910552,23.694198,142.027277,42.554231,1550.449712
sub-CC320336_T1w,586.75037,367.581209,220.97461,49.634123,30.325032,13.810838,21.757678,166.422855,41.940794,1499.197508
sub-CC320576_T1w,674.476608,464.706094,261.146112,54.321804,43.110344,18.693544,20.771709,189.343734,51.4358,1778.00575
sub-CC321899_T1w,670.087785,443.900947,271.123471,49.631303,44.479576,17.376088,22.208017,171.267213,48.368426,1738.442827
sub-CC410015_T1w,643.857376,420.814646,245.011288,53.717374,39.109659,16.227584,23.761551,155.752971,45.933435,1644.185883
sub-CC410032_T1w,651.219619,434.02859,276.479949,50.624381,55.996589,18.445859,27.903265,171.71074,49.112628,1735.521619
sub-CC410084_T1w,601.754915,388.493165,242.344679,52.222696,36.447441,15.038547,24.598522,159.984796,41.839147,1562.723908
sub-CC410086_T1w,863.394142,502.824313,281.666885,63.052524,55.127339,18.831119,23.873115,204.569795,61.899799,2075.23903
sub-CC410094_T1w,696.784903,493.17137,299.634645,54.046474,61.984668,33.540944,33.860478,206.567095,55.26288,1934.853456
sub-CC410097_T1w,613.209784,417.091959,199.96473,43.486228,42.650175,13.391543,14.485736,132.839099,43.712282,1520.831536
sub-CC410101_T1w,691.115475,462.607688,289.791986,54.833101,41.185388,30.229592,30.059981,187.46972,50.931116,1838.224046
sub-CC410119_T1w,664.336595,442.208655,250.744413,44.047369,47.031689,21.07759,24.244882,173.428703,54.851184,1721.97108
sub-CC410121_T1w,659.737576,426.738374,248.074965,53.278015,38.247882,17.605544,24.135988,163.079147,49.757823,1680.655315
sub-CC410177_T1w,753.399277,505.034054,287.342634,63.231053,49.7398,17.400673,26.556688,186.367724,54.953552,1944.025455
sub-CC410182_T1w,755.39679,484.464767,279.133539,63.785748,55.033531,22.570584,25.739863,178.579414,51.381821,1916.086057
sub-CC410243_T1w,636.413552,403.835704,238.969268,43.372324,41.573419,13.348864,21.258279,169.096297,47.92137,1615.789078
sub-CC410248_T1w,637.005176,454.899553,258.501547,48.189098,50.473386,17.320623,23.485846,179.059491,53.551247,1722.485965
sub-CC410284_T1w,639.831886,403.459286,254.24697,54.275462,46.262524,25.264341,24.837801,168.159504,44.376645,1660.714419
sub-CC410287_T1w,618.345721,376.679674,225.855131,42.239989,36.990824,20.403378,22.401364,161.237997,46.256346,1550.410424
sub-CC410323_T1w,541.014366,337.557057,191.483623,48.504948,38.199847,16.703803,18.246969,127.981203,38.24132,1357.933136
sub-CC420060_T1w,666.756224,471.611171,293.116364,55.979262,51.228814,19.216918,27.151497,190.055156,48.837234,1823.952639
sub-CC420148_T1w,641.975683,413.741799,256.078629,46.844641,41.650603,15.469039,24.351549,170.268184,47.397568,1657.777696
sub-CC420167_T1w,647.702932,417.633587,249.589067,49.608959,44.062436,16.852686,23.739568,153.156671,46.722204,1649.068108
sub-CC420180_T1w,657.047824,429.006661,245.436015,55.627834,42.615813,17.592337,24.146808,158.58746,47.523592,1677.584345
sub-CC420202_T1w,831.799281,535.650692,334.177085,62.065212,48.995766,32.241086,34.41879,222.090901,57.992849,2159.431661
sub-CC420236_T1w,692.844936,452.90665,281.945611,48.591895,50.349106,15.835208,24.098309,167.013535,50.986953,1784.572203
sub-CC420322_T1w,740.710798,456.373307,266.846736,53.373233,47.062266,23.957894,26.80962,169.514073,53.672624,1838.320551
sub-CC420348_T1w,679.772869,425.871487,259.985488,44.798844,41.002578,14.686307,23.677917,175.19409,50.13694,1715.126519
sub-CC420402_T1w,694.093808,419.832159,215.788821,42.815341,44.869539,13.403086,16.576909,138.006644,52.106626,1637.492934
sub-CC420433_T1w,727.092658,497.755948,306.960366,55.970221,60.305509,24.268132,28.35348,193.477808,53.993013,1948.177134
sub-CC420623_T1w,656.65919,421.966342,222.391744,48.031706,32.223893,15.472342,23.772543,164.080075,52.448893,1637.046728
sub-CC510039_T1w,608.249096,423.077021,253.020158,48.933285,46.758561,21.266133,25.875889,156.271283,47.002752,1630.45418
sub-CC510050_T1w,632.058926,368.020496,242.41697,43.149031,45.036728,20.049648,24.989494,148.631375,42.937286,1567.289955
sub-CC510086_T1w,635.628085,407.715342,237.071821,47.939865,36.519083,20.60617,23.651827,157.214505,48.927871,1615.274569
