Measure:volume,AV,CeM,CL,CM,LD,LGN,LP,L-Sg,MDl,MDm,MGN,MV(Re),Pc,Pf,Pt,PuA,PuI,PuL,PuM,VA,VAmc,VLa,VLp,VM,VPL,Whole_thalamus
sub-CC120218_T1w,171.015522,80.169644,51.379326,263.859674,42.333583,285.888235,144.541669,24.108768,314.995819,921.197492,116.102571,17.72595,4.063777,53.845192,7.080463,225.145624,251.250038,163.180301,1176.877649,457.037613,37.292496,650.232961,821.947194,21.232885,803.768706,7106.273154
sub-CC210023_T1w,173.760687,86.926179,43.311101,280.8077,44.488979,250.936059,141.885597,26.332794,287.931222,800.193248,113.144022,16.2388,4.250519,64.607568,8.011477,244.885801,232.32599,235.412617,1164.53591,481.944446,35.506538,739.262804,965.224063,25.484388,947.879992,7415.288502
sub-CC210088_T1w,143.856201,68.659348,42.722539,217.220603,49.540505,229.662966,159.731558,19.405379,246.936667,755.575839,111.64027,13.415017,3.910761,50.62122,5.961648,198.801431,161.525132,111.604025,908.537234,380.02607,29.731708,579.250866,785.206451,18.909892,826.470989,6118.924319
sub-CC210314_T1w,130.907052,53.525273,35.874355,204.095315,39.056363,235.965627,138.395109,11.749222,241.096256,703.323404,105.522248,9.858774,3.061915,51.104461,6.098943,193.174971,194.268734,155.56598,984.351204,346.54188,23.713663,516.842054,706.518883,19.767941,758.422238,5868.801865
sub-CC210422_T1w,184.15098,88.162451,51.89308,299.473234,41.210826,270.147675,176.89465,33.230489,285.400435,771.009613,132.76894,17.145211,3.909251,64.356144,8.249359,214.63747,229.143179,215.940351,1084.257443,525.105722,38.749811,773.669291,1024.035744,27.973739,997.165129,7558.680219
sub-CC220198_T1w,134.194564,72.557105,36.048909,270.036095,37.041684,298.964715,133.3448,22.516432,305.169472,825.574794,131.780146,16.456899,3.475793,57.814389,7.641566,239.51499,237.349432,220.439982,1213.941327,412.397429,32.484403,600.459451,795.027787,22.108825,897.453731,7023.794722
sub-CC310214_T1w,126.500856,64.45922,34.405282,239.613878,31.904252,208.762957,140.410533,17.583173,255.503817,791.888916,112.388668,12.686049,4.215246,51.270342,6.119524,179.532073,213.57678,144.908835,976.740352,406.849224,30.517462,631.458093,816.964328,20.276591,845.153454,6363.689904
sub-CC310252_T1w,129.783999,61.117153,36.13666,274.548999,42.328326,262.42468,161.169352,19.819079,266.711139,758.141835,91.830322,11.312196,3.637097,64.614717,7.075519,209.397101,244.288165,163.741907,1135.019226,397.613554,28.535187,640.165145,865.865726,28.696674,923.404776,6827.378532
sub-CC310361_T1w,153.731094,74.408845,40.199008,234.927169,28.563512,241.492056,117.39758,30.487083,265.566386,775.65087,107.18304,14.095155,4.103309,53.085891,6.398623,207.192823,194.125269,160.631287,975.242536,428.797681,32.372812,640.722787,831.758797,20.083053,797.971736,6436.188401
sub-CC310450_T1w,144.227636,71.86742,45.783768,259.621754,43.127779,244.236286,167.473295,20.525061,250.090942,724.808574,93.461997,13.84362,4.357265,58.802079,7.280718,197.02957,176.214221,186.268927,964.534014,419.968839,33.583082,680.20911,907.568379,26.344301,900.156531,6641.385168
sub-CC310463_T1w,147.698991,80.050717,36.553786,261.403681,26.580859,209.981744,155.801198,33.06449,259.126076,739.790017,144.197242,14.73493,4.059794,57.36191,7.541821,204.279498,198.143389,207.78225,1027.714853,460.178157,32.695775,686.602441,872.196021,23.559848,900.245806,6791.345294
sub-CC312058_T1w,133.344188,70.563661,40.42801,270.789809,32.204623,299.50276,138.174689,31.403475,260.836273,734.701226,115.384226,13.934539,3.78155,60.483528,7.111957,228.377974,229.043767,180.295766,1102.611172,406.223524,31.265103,654.436042,870.106725,27.140532,950.988571,6893.133688
sub-CC312222_T1w,136.583764,63.555613,35.947173,226.498703,31.130966,225.222782,144.02186,23.266506,262.449792,680.009289,100.895171,13.206247,3.538056,50.780709,6.377749,197.440578,194.978071,191.315604,1000.171321,430.552687,29.924392,609.199035,797.32326,18.741188,766.316243,6239.446759
sub-CC320107_T1w,135.498199,49.72258,31.786954,238.936591,21.370472,224.557525,133.882118,26.133013,239.147705,603.384283,106.326764,7.125004,3.532134,55.739427,7.078918,211.887697,180.658776,219.187081,1022.771798,436.895678,27.846225,705.637816,923.858036,23.570493,899.597221,6536.132507
